stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1282,1282,Facultat de Ciències Socials,C RAMON LLULL SOLAR - VALÈNCIA,39.4794091065428,-0.345736641838257,,,0,
1283,1283,Campus Tarongers,C RAMON LLULL NOVES FACULTATS - VALÈNCIA,39.4792773626074,-0.345328074334429,,,0,
1289,1289,Vicent Puchol - Arbres,C VICENTE PUCHOL 25 - CASTELLAR-OLIVERAL,39.4278532339642,-0.363915058916504,,,0,
129,129,Blasco Ibáñez - Enginyer Rafael Janini,AV BLASCO IBAÑEZ 168 - VALÈNCIA,39.4712486229191,-0.340259125628761,,,0,
1290,1290,Centre de Salut de València-Castellar,C VICENTE PUCHOL 24 - CASTELLAR-OLIVERAL,39.4282424532239,-0.363971545578161,,,0,
1295,1295,Mestre Rodrigo - Marqués de Sant Joan,AV MAESTRO RODRIGO 10 - VALÈNCIA,39.4775290547034,-0.39730897371444,,,0,
1296,1296,Marqués de Sant Joan - Campanar,C MARQUÉS DE SAN JUAN 7 - VALÈNCIA,39.4786677153458,-0.395161571098252,,,0,
1298,1298,Espinosa - Ferran el Catòlic,C ESPINOSA 1 - VALÈNCIA,39.4721221948729,-0.384395971701396,,,0,
13,13,Dr. Lluch - Vicent Guillot,C DOCTOR LLUCH 228 - VALÈNCIA,39.4734693265711,-0.327376919275086,,,0,
1305,1305,Na Jordana,C GUILLEM DE CASTRO 160 - VALÈNCIA,39.4810751688904,-0.380981061390234,,,0,
1306,1306,Pont de les Drassanes,AV INGENIERO MANUEL SOTO 15 (DAVANT ILLETA) - VALÈNCIA,39.4550626122368,-0.329974582798691,,,0,
1307,1307,Tres Creus - Llombai,AV TRES CRUCES 49 - VALÈNCIA,39.4643976759904,-0.405260805469348,,,0,
1310,1310,Manuel Carboneres - Sant Francesc de Paula,C MANUEL CARBONERES 8 (DAVANT) - VALÈNCIA,39.4462113849823,-0.330581776542379,,,0,
1311,1311,Teatre Flumen,C PADRE FERRIS 21 - VALÈNCIA,39.4831009241716,-0.384989700974926,,,0,
1318,1318,Molinell (parell) - Alboraia,C MOLINELL 8 - VALÈNCIA,39.4849411815053,-0.369712217669426,,,0,
1319,1319,Corts Valencianes - Palau de Congressos,AV CORTS VALENCIANES P.CONGRESSOS (PAR) - VALÈNCIA,39.4941838510958,-0.401818111532799,,,0,
1320,1320,Camp de Túria (parell) - Corts Valencianes,C CAMP DEL TURIA 6 - VALÈNCIA,39.4943253414252,-0.404004193537992,,,0,
1321,1321,Camp de Túria (imparell) - Corts Valencianes,C CAMP DEL TURIA 6 (DAVANT) - VALÈNCIA,39.4939147653545,-0.403370815095573,,,0,
1326,1326,Ciutat de l'Artista Faller,C NINOT  DEL 19 (DAVANT) - VALÈNCIA,39.5004427684313,-0.393102611706814,,,0,
1329,1329,Palmaret - Montcada,AV PALMARET  DEL s/n - CARPESA,39.5176982825771,-0.386332302086543,,,0,
1330,1330,Florista,C CUARTELL 4 - VALÈNCIA,39.4955744903869,-0.397432631294019,,,0,
1331,1331,Florista - Carrasqueta,C FLORISTA 113 - VALÈNCIA,39.4940494051074,-0.396208821092431,,,0,
1332,1332,Garbí,C FLORISTA 63 - VALÈNCIA,39.4919493849329,-0.394034498066274,,,0,
1333,1333,Bon Recés - Florista,C BUEN RETIRO CANTÓ FLORISTA - VALÈNCIA,39.490421248775,-0.392439424346761,,,0,
1348,1348,Dr. Nicasi Benlloch - Emili Nadal,C DOCTOR NICASIO BENLLOCH 27 - VALÈNCIA,39.4888752107413,-0.392265889725067,,,0,
